,id,terrestrial_date,sol,ls,month,min_temp,pressure
304,320,2013-08-01,351,0,1,-75.0,853.0
305,319,2013-08-02,352,0,1,-77.0,854.0
306,323,2013-08-03,353,1,1,-75.0,855.0
307,322,2013-08-04,354,1,1,-75.0,857.0
308,321,2013-08-05,355,2,1,-75.0,857.0
309,324,2013-08-06,356,2,1,-77.0,856.0
310,325,2013-08-07,357,3,1,-76.0,857.0
311,326,2013-08-17,366,7,1,-76.0,861.0
312,328,2013-08-18,367,8,1,-76.0,862.0
313,330,2013-08-19,368,8,1,-77.0,863.0
314,331,2013-08-20,369,9,1,-75.0,865.0
315,332,2013-08-21,370,9,1,-79.0,865.0
316,333,2013-08-22,371,10,1,-77.0,865.0
317,334,2013-08-23,372,10,1,-76.0,866.0
318,335,2013-08-24,373,11,1,-79.0,866.0
319,337,2013-08-25,374,11,1,-79.0,866.0
320,336,2013-08-26,375,12,1,-77.0,867.0
321,340,2013-08-27,376,12,1,-78.0,870.0
322,338,2013-08-28,377,13,1,-78.0,870.0
323,339,2013-08-29,378,13,1,-78.0,869.0
324,341,2013-08-30,379,14,1,-79.0,870.0
325,343,2013-08-31,380,14,1,-79.0,870.0
326,345,2013-09-01,381,15,1,-79.0,871.0
327,344,2013-09-02,382,15,1,-76.0,872.0
328,342,2013-09-03,383,16,1,-77.0,874.0
329,346,2013-09-04,384,16,1,-77.0,875.0
330,351,2013-09-05,385,17,1,-78.0,874.0
331,347,2013-09-06,386,17,1,-77.0,873.0
332,349,2013-09-07,387,18,1,-78.0,874.0
333,350,2013-09-08,388,18,1,-79.0,875.0
334,348,2013-09-09,389,19,1,-79.0,875.0
335,352,2013-09-10,390,19,1,-78.0,875.0
336,353,2013-09-11,391,20,1,-78.0,875.0
337,354,2013-09-12,392,20,1,-77.0,876.0
338,355,2013-09-13,393,21,1,-76.0,877.0
339,356,2013-09-14,394,21,1,-79.0,878.0
340,357,2013-09-15,395,22,1,-77.0,878.0
341,358,2013-09-16,396,22,1,-78.0,879.0
342,359,2013-09-18,397,23,1,-75.0,880.0
343,360,2013-09-19,398,23,1,-79.0,880.0
344,361,2013-09-20,399,24,1,-79.0,881.0
345,363,2013-09-21,400,24,1,-79.0,881.0
346,362,2013-09-22,401,25,1,-79.0,882.0
347,365,2013-09-23,402,25,1,-78.0,883.0
348,364,2013-09-24,403,25,1,-80.0,883.0
349,367,2013-09-25,404,26,1,-78.0,884.0
350,366,2013-09-26,405,26,1,-82.0,885.0
351,374,2013-09-27,406,27,1,-81.0,886.0
352,370,2013-09-28,407,27,1,-81.0,887.0
353,369,2013-09-29,408,28,1,-80.0,887.0
354,368,2013-09-30,409,28,1,-81.0,887.0
355,373,2013-10-01,410,29,1,-81.0,888.0
356,372,2013-10-02,411,29,1,-82.0,887.0
925,954,2015-06-19,1019,0,1,-81.0,849.0
926,938,2015-06-20,1020,0,1,-63.0,832.0
927,942,2015-06-21,1021,1,1,-76.0,850.0
928,944,2015-06-22,1022,1,1,-75.0,852.0
929,943,2015-06-23,1023,2,1,-76.0,851.0
930,945,2015-06-24,1024,2,1,-76.0,851.0
931,958,2015-06-25,1025,3,1,-74.0,851.0
932,957,2015-06-26,1026,3,1,-78.0,851.0
933,960,2015-06-28,1028,4,1,-75.0,853.0
934,959,2015-06-29,1029,5,1,-75.0,856.0
935,961,2015-06-30,1030,5,1,-77.0,855.0
